iter	Passed	Remaining
0	58	58347
1	58	29299
2	59	19620
3	59	14777
4	59	11873
5	59	9936
6	60	8555
7	60	7516
8	60	6706
9	61	6055
10	61	5524
11	61	5082
12	62	4708
13	62	4387
14	62	4107
15	62	3862
16	63	3646
17	63	3455
18	63	3283
19	63	3129
20	64	2989
21	64	2862
22	64	2746
23	64	2640
24	65	2543
25	65	2452
26	65	2368
27	65	2290
28	66	2218
29	66	2150
30	66	2087
31	67	2027
32	67	1972
33	67	1919
34	67	1870
35	68	1823
36	68	1779
37	68	1738
38	68	1698
39	69	1660
40	69	1624
41	69	1590
42	69	1557
43	70	1525
44	70	1495
45	70	1467
46	70	1439
47	71	1413
48	71	1387
49	71	1363
50	72	1339
51	72	1317
52	72	1295
53	72	1274
54	73	1254
55	73	1234
56	73	1216
57	73	1197
58	74	1180
59	74	1163
60	74	1147
61	74	1131
62	75	1116
63	75	1101
64	75	1086
65	75	1072
66	76	1058
67	76	1043
68	76	1030
69	76	1017
70	76	1005
71	77	993
72	77	981
73	77	970
74	77	959
75	78	948
76	78	938
77	78	928
78	78	918
79	79	908
80	79	899
81	79	890
82	79	881
83	79	872
84	80	863
85	80	855
86	80	845
87	80	837
88	81	829
89	81	821
90	81	814
91	81	806
92	81	799
93	82	792
94	82	785
95	82	778
96	82	771
97	83	765
98	83	758
99	83	752
100	83	745
101	83	738
102	84	732
103	84	727
104	84	721
105	84	715
106	85	710
107	85	704
108	85	699
109	85	694
110	86	688
111	86	683
112	86	678
113	86	673
114	86	668
115	87	663
116	87	658
117	87	653
118	87	648
119	87	644
120	88	639
121	88	635
122	88	630
123	88	626
124	88	621
125	89	617
126	89	613
127	89	608
128	89	605
129	89	601
130	90	597
131	90	593
132	90	590
133	90	586
134	91	583
135	91	579
136	91	576
137	91	572
138	91	568
139	92	565
140	92	562
141	92	559
142	92	556
143	93	553
144	93	550
145	93	546
146	93	543
147	93	540
148	94	537
149	94	535
150	94	532
151	94	529
152	95	526
153	95	523
154	95	521
155	95	518
156	96	515
157	96	512
158	96	510
159	96	507
160	96	505
161	97	502
162	97	500
163	97	497
164	97	495
165	98	493
166	98	490
167	98	488
168	98	486
169	99	483
170	99	481
171	99	479
172	99	477
173	100	474
174	100	472
175	100	470
176	100	468
177	101	466
178	101	464
179	101	462
180	101	459
181	101	457
182	102	455
183	102	453
184	102	451
185	102	449
186	103	447
187	103	446
188	103	444
189	103	442
190	103	440
191	104	438
192	104	436
193	104	434
194	104	433
195	105	431
196	105	429
197	105	427
198	105	425
199	106	424
200	106	422
201	106	420
202	106	419
203	106	417
204	107	415
205	107	414
206	107	412
207	107	411
208	108	409
209	108	407
210	108	406
211	108	404
212	109	403
213	109	401
214	109	400
215	109	398
216	110	397
217	110	395
218	110	394
219	110	392
220	111	391
221	111	390
222	111	388
223	111	387
224	112	385
225	112	384
226	112	383
227	112	381
228	112	380
229	113	378
230	113	377
231	113	376
232	113	374
233	114	373
234	114	372
235	114	370
236	114	369
237	115	368
238	115	367
239	115	365
240	115	364
241	115	363
242	116	362
243	116	360
244	116	359
245	116	358
246	117	357
247	117	356
248	117	354
249	117	353
250	118	352
251	118	351
252	118	350
253	118	348
254	119	347
255	119	346
256	119	345
257	119	344
258	119	343
259	120	342
260	120	340
261	120	339
262	120	338
263	121	337
264	121	336
265	121	335
266	121	334
267	122	333
268	122	332
269	122	331
270	122	330
271	122	329
272	123	328
273	123	327
274	123	326
275	123	325
276	124	324
277	124	323
278	124	322
279	124	321
280	125	320
281	125	319
282	125	318
283	125	317
284	126	316
285	126	315
286	126	314
287	126	313
288	127	312
289	127	311
290	127	310
291	127	309
292	128	308
293	128	308
294	128	307
295	128	306
296	128	305
297	129	304
298	129	303
299	129	302
300	129	301
301	130	300
302	130	300
303	130	299
304	130	298
305	131	297
306	131	296
307	131	295
308	131	294
309	132	293
310	132	293
311	132	292
312	132	291
313	133	290
314	133	289
315	133	288
316	133	288
317	133	287
318	134	286
319	134	285
320	134	284
321	134	284
322	135	283
323	135	282
324	135	281
325	135	280
326	136	280
327	136	279
328	136	278
329	136	277
