iter	Passed	Remaining
0	60	60325
1	60	30290
2	60	20252
3	61	15230
4	61	12217
5	61	10213
6	61	8780
7	62	7704
8	62	6866
9	62	6195
10	62	5659
11	63	5202
12	63	4813
13	63	4481
14	63	4194
15	64	3941
16	64	3718
17	64	3523
18	64	3347
19	65	3188
20	65	3044
21	65	2913
22	65	2793
23	66	2684
24	66	2584
25	66	2490
26	66	2403
27	66	2325
28	67	2249
29	67	2180
30	67	2114
31	67	2053
32	68	1995
33	68	1941
34	68	1890
35	68	1841
36	68	1795
37	69	1752
38	69	1712
39	69	1673
40	69	1636
41	70	1600
42	70	1567
43	70	1535
44	70	1505
45	71	1475
46	71	1447
47	71	1420
48	71	1395
49	72	1370
50	72	1347
51	72	1324
52	72	1302
53	73	1281
54	73	1260
55	73	1241
56	73	1222
57	74	1203
58	74	1185
59	74	1168
60	74	1152
61	75	1136
62	75	1120
63	75	1105
64	75	1091
65	76	1077
66	76	1063
67	76	1050
68	76	1037
69	77	1024
70	77	1012
71	77	1000
72	77	988
73	78	977
74	78	966
75	78	955
76	78	945
77	79	935
78	79	925
79	79	915
80	79	906
81	80	897
82	80	886
83	80	877
84	80	868
85	80	860
86	81	852
87	81	843
88	81	835
89	81	828
90	82	820
91	82	812
92	82	805
93	82	798
94	83	791
95	83	784
96	83	777
97	83	771
98	84	764
99	84	758
100	84	752
101	84	746
102	85	740
103	85	734
104	85	728
105	85	723
106	85	717
107	86	712
108	86	706
109	86	701
110	86	696
111	87	691
112	87	686
113	87	681
114	87	676
115	88	671
116	88	666
117	88	661
118	88	657
119	89	653
120	89	648
121	89	643
122	89	639
123	89	635
124	90	631
125	90	627
126	90	622
127	90	618
128	91	615
129	91	611
130	91	607
131	91	603
132	92	600
133	92	596
134	92	592
135	92	589
136	93	586
137	93	582
138	93	579
139	93	576
140	94	572
141	94	568
142	94	565
143	94	562
144	94	559
145	95	556
146	95	553
147	95	550
148	95	547
149	96	544
150	96	541
151	96	538
152	96	535
153	97	533
154	97	530
155	97	527
156	97	524
157	98	522
158	98	519
159	98	517
160	98	513
161	98	511
162	99	508
163	99	506
164	99	503
165	99	501
166	100	499
167	100	496
168	100	494
169	100	492
170	101	489
171	101	487
172	101	485
173	101	482
174	101	480
175	102	478
176	102	476
177	102	474
178	102	472
179	103	470
180	103	468
181	103	466
182	103	464
183	104	461
184	104	459
185	104	457
186	104	455
187	105	453
188	105	452
189	105	450
190	105	448
191	106	446
192	106	444
193	106	442
194	106	440
195	107	439
196	107	437
197	107	435
198	107	433
199	108	432
200	108	430
201	108	428
202	108	426
203	108	425
204	109	423
205	109	421
206	109	420
207	109	418
208	110	417
209	110	415
210	110	413
211	110	412
212	111	410
213	111	409
214	111	407
215	111	405
216	112	404
217	112	402
218	112	401
219	112	399
220	113	398
221	113	397
222	113	395
223	113	394
224	114	392
225	114	391
226	114	389
227	114	388
228	114	387
229	115	385
230	115	384
231	115	383
232	115	381
233	116	380
234	116	379
235	116	377
236	116	376
237	117	375
238	117	373
239	117	372
240	117	371
241	118	369
242	118	368
243	118	367
244	118	366
245	119	365
246	119	363
247	119	362
248	119	361
249	120	360
250	120	359
251	120	357
252	120	356
253	121	355
254	121	354
255	121	353
256	121	352
257	122	350
258	122	349
259	122	348
260	122	347
261	123	346
262	123	345
263	123	344
264	123	343
265	123	342
266	124	340
267	124	339
268	124	338
269	124	337
270	125	336
271	125	335
272	125	334
273	125	333
274	126	332
275	126	331
276	126	330
277	126	329
278	127	328
279	127	327
280	127	326
281	127	325
282	128	324
283	128	323
284	128	322
285	128	321
286	129	320
287	129	319
288	129	318
289	129	317
290	130	316
291	130	315
292	130	314
293	130	313
294	131	313
295	131	312
296	131	311
297	131	310
298	131	309
299	132	308
300	132	307
301	132	306
302	132	305
303	133	305
304	133	304
305	133	303
306	133	302
307	134	301
308	134	300
309	134	299
310	134	298
311	135	297
312	135	297
313	135	296
314	135	295
315	136	294
316	136	293
317	136	292
318	136	291
319	137	291
320	137	290
321	137	289
322	137	288
323	138	287
324	138	287
325	138	286
326	138	285
327	139	284
328	139	284
329	139	283
330	139	282
331	140	281
332	140	280
333	140	280
334	140	279
335	140	278
336	141	277
337	141	277
338	141	276
339	141	275
340	142	274
341	142	273
342	142	273
343	142	272
344	143	271
345	143	270
346	143	270
347	143	269
348	143	268
349	144	267
350	144	267
351	144	266
352	144	265
353	145	264
354	145	264
355	145	263
356	145	262
357	146	262
358	146	261
359	146	260
360	146	259
361	147	259
362	147	258
363	147	257
364	147	257
365	148	256
366	148	255
367	148	255
368	148	254
369	149	253
370	149	253
371	149	252
372	149	251
373	149	251
374	150	250
375	150	249
376	150	249
377	150	248
378	151	247
379	151	247
380	151	246
381	151	245
382	152	245
383	152	244
384	152	243
385	152	243
386	153	242
387	153	241
388	153	241
389	153	240
390	154	240
391	154	239
392	154	238
393	154	238
394	155	237
395	155	236
396	155	236
397	155	235
398	156	235
399	156	234
400	156	233
401	156	233
402	156	232
403	157	231
404	157	231
405	157	230
406	157	230
407	158	229
408	158	228
409	158	228
410	158	227
411	159	227
412	159	226
413	159	225
414	159	225
415	159	224
416	160	223
417	160	223
418	160	222
419	160	222
420	161	221
421	161	221
422	161	220
423	161	219
424	162	219
425	162	218
426	162	218
427	162	217
428	163	217
429	163	216
430	163	215
431	163	215
432	163	214
433	164	214
434	164	213
435	164	213
436	164	212
437	165	211
438	165	211
439	165	210
440	165	210
441	166	209
442	166	209
443	166	208
444	166	208
445	167	207
446	167	207
447	167	206
448	167	206
449	168	205
450	168	205
451	168	204
452	169	204
453	169	203
454	169	203
455	169	202
456	170	202
457	170	201
458	170	201
459	170	200
460	171	200
461	171	199
462	171	199
463	171	198
464	172	198
465	172	197
466	172	196
467	172	196
468	173	195
469	173	195
470	173	194
471	173	194
472	174	194
473	174	193
474	174	193
475	174	192
476	175	192
477	175	191
478	175	190
479	175	190
480	176	190
481	176	189
482	176	188
483	176	188
484	177	187
485	177	187
486	177	186
487	177	186
488	177	185
489	178	185
490	178	185
491	178	184
492	178	184
493	179	183
494	179	183
495	179	182
496	179	182
497	180	181
498	180	181
499	180	180
500	180	180
501	181	179
502	181	179
503	181	178
504	181	178
505	182	177
506	182	177
507	182	176
508	182	176
509	183	175
510	183	175
511	183	174
512	183	174
513	184	174
514	184	173
515	184	173
516	184	172
517	185	172
518	185	171
519	185	171
520	185	170
521	186	170
522	186	169
523	186	169
524	186	168
525	186	168
526	187	168
527	187	167
528	187	167
529	188	166
530	188	166
531	188	165
532	188	165
533	189	164
534	189	164
535	189	164
536	189	163
537	189	163
538	190	162
539	190	162
540	190	161
541	190	161
542	191	160
543	191	160
544	191	160
545	191	159
546	192	159
547	192	158
548	192	158
549	192	157
550	193	157
551	193	156
552	193	156
553	193	156
554	194	155
555	194	155
556	194	154
557	194	154
558	195	153
559	195	153
560	195	153
561	195	152
562	196	152
563	196	151
564	196	151
565	196	150
566	196	150
567	197	149
568	197	149
569	197	149
570	197	148
571	198	148
572	198	147
573	198	147
574	198	146
575	199	146
576	199	146
577	199	145
578	199	145
579	200	144
580	200	144
581	200	143
582	200	143
583	200	143
584	201	142
585	201	142
586	201	141
587	202	141
588	202	141
589	202	140
590	202	140
591	202	139
592	203	139
593	203	139
594	203	138
595	203	138
596	204	137
597	204	137
598	204	137
599	204	136
600	205	136
601	205	135
602	205	135
603	205	134
604	206	134
605	206	134
606	206	133
607	206	133
608	207	132
609	207	132
610	207	132
611	207	131
612	207	131
613	208	130
614	208	130
615	208	130
616	208	129
617	209	129
618	209	128
619	209	128
620	209	128
621	210	127
622	210	127
623	210	126
624	210	126
625	210	126
626	211	125
627	211	125
628	211	124
629	211	124
630	212	124
631	212	123
632	212	123
633	212	122
634	213	122
635	213	122
636	213	121
637	213	121
638	213	120
639	214	120
640	214	120
641	214	119
642	214	119
643	215	118
644	215	118
645	215	118
646	215	117
647	216	117
648	216	117
649	216	116
650	216	116
651	217	115
652	217	115
653	217	115
654	217	114
655	218	114
656	218	113
657	218	113
658	218	113
659	218	112
660	219	112
661	219	112
662	219	111
663	219	111
664	220	110
665	220	110
666	220	110
667	220	109
668	221	109
669	221	108
670	221	108
671	221	108
672	221	107
673	222	107
674	222	107
675	222	106
676	222	106
677	223	105
678	223	105
679	223	105
680	223	104
681	224	104
682	224	104
683	224	103
684	224	103
685	225	103
686	225	102
687	225	102
688	225	101
689	226	101
690	226	101
691	226	100
692	226	100
693	227	100
694	227	99
695	227	99
696	227	98
697	227	98
698	228	98
699	228	97
700	228	97
701	228	97
702	229	96
703	229	96
704	229	96
705	229	95
706	229	95
707	230	94
708	230	94
709	230	94
710	230	93
711	231	93
712	231	93
713	231	92
714	231	92
715	232	92
716	232	91
717	232	91
718	232	91
719	233	90
720	233	90
721	233	89
722	233	89
723	234	89
724	234	88
725	234	88
726	234	88
727	235	87
728	235	87
729	235	87
730	235	86
731	236	86
732	236	86
733	236	85
734	236	85
735	237	85
736	237	84
737	237	84
738	237	83
739	238	83
740	238	83
741	238	82
742	238	82
743	238	82
744	239	81
745	239	81
746	239	81
747	239	80
748	240	80
749	240	80
750	240	79
751	240	79
752	241	79
753	241	78
754	241	78
755	241	78
756	242	77
757	242	77
758	242	76
759	242	76
760	242	76
761	243	75
762	243	75
763	243	75
764	243	74
765	244	74
766	244	74
767	244	73
768	245	73
769	245	73
770	245	72
771	245	72
772	246	72
773	246	71
774	246	71
775	246	71
776	247	70
777	247	70
778	247	70
779	247	69
780	248	69
781	248	69
782	248	68
783	248	68
784	249	68
785	249	67
786	249	67
787	249	67
788	250	66
789	250	66
790	250	66
791	251	65
792	251	65
793	251	65
794	251	64
795	252	64
796	252	64
797	252	63
798	252	63
799	253	63
800	253	62
801	253	62
802	253	62
803	254	61
804	254	61
805	254	61
806	254	60
807	255	60
808	255	60
809	255	59
810	255	59
811	256	59
812	256	58
813	256	58
814	256	58
815	257	58
816	257	57
817	257	57
818	257	57
819	258	56
820	258	56
821	258	56
822	259	55
823	259	55
824	259	55
825	259	54
826	260	54
827	260	54
828	260	53
829	260	53
830	261	53
831	261	52
832	261	52
833	261	52
834	262	51
835	262	51
836	262	51
837	262	50
838	263	50
839	263	50
840	264	49
841	264	49
842	264	49
843	264	48
844	265	48
845	265	48
846	265	47
847	265	47
848	265	47
849	266	46
850	266	46
851	266	46
852	266	45
853	267	45
854	267	45
855	267	45
856	267	44
857	268	44
858	268	44
859	268	43
860	268	43
861	269	43
862	269	42
863	269	42
864	269	42
865	270	41
866	270	41
867	270	41
868	270	40
869	271	40
870	271	40
871	271	39
872	271	39
873	272	39
874	272	38
875	272	38
876	272	38
877	273	37
878	273	37
879	273	37
880	273	36
881	274	36
882	274	36
883	274	36
884	274	35
885	274	35
886	275	35
887	275	34
888	275	34
889	275	34
890	276	33
891	276	33
892	276	33
893	276	32
894	277	32
895	277	32
896	277	31
897	277	31
898	278	31
899	278	30
900	278	30
901	278	30
902	279	29
903	279	29
904	279	29
905	279	29
906	280	28
907	280	28
908	280	28
909	280	27
910	281	27
911	281	27
912	281	26
913	281	26
914	282	26
915	282	25
916	282	25
917	282	25
918	283	24
919	283	24
920	283	24
921	283	24
922	284	23
923	284	23
924	284	23
925	284	22
926	285	22
927	285	22
928	285	21
929	285	21
930	286	21
931	286	20
932	286	20
933	287	20
934	287	19
935	287	19
936	287	19
937	287	19
938	288	18
939	288	18
940	288	18
941	288	17
942	289	17
943	289	17
944	289	16
945	289	16
946	290	16
947	290	15
948	290	15
949	290	15
950	290	14
951	291	14
952	291	14
953	291	14
954	292	13
955	292	13
956	292	13
957	292	12
958	293	12
959	293	12
960	293	11
961	294	11
962	294	11
963	294	11
964	295	10
965	295	10
966	295	10
967	295	9
968	296	9
969	296	9
970	296	8
971	296	8
972	297	8
973	297	7
974	297	7
975	297	7
976	298	7
977	298	6
978	298	6
979	298	6
980	299	5
981	299	5
982	299	5
983	299	4
984	300	4
985	300	4
986	300	3
987	300	3
988	301	3
989	301	3
990	301	2
991	301	2
992	302	2
993	302	1
994	302	1
995	302	1
996	303	0
997	303	0
998	303	0
999	303	0
